owner,control,type,device,legacy_value,expected_class,status,note
section,animation_duration,select,,,animated-slow,verified,
section,blocksy_stretch_section,switcher,,,ct-section-stretched,verified,
section,column_position,select,,,elementor-section-items-stretch,verified,
section,content_position,select,,,elementor-section-content-top,verified,
section,height_inner,select,,,elementor-section-height-default,verified,
section,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
section,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
section,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
section,layout,select,,,elementor-section-boxed,verified,
section,reverse_order_mobile,switcher,,,elementor-reverse-mobile,verified,
section,reverse_order_tablet,switcher,,,elementor-reverse-tablet,verified,
section,height,select,,,elementor-section-height-default,verified,
column,animation_duration,select,,,animated-slow,verified,
column,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
column,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
column,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
column,screen_sm_width,hidden,,,elementor-sm-eh#DDC,verified,
container,_transform_flipX_effect,choose,,,e-transform,verified,
container,_transform_flipX_effect_hover,choose,,,e-transform,verified,
container,_transform_flipY_effect,choose,,,e-transform,verified,
container,_transform_flipY_effect_hover,choose,,,e-transform,verified,
container,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
container,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
container,_transform_scale_popover,popover_toggle,,,e-transform,verified,
container,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
container,_transform_skew_popover,popover_toggle,,,e-transform,verified,
container,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
container,_transform_translate_popover,popover_toggle,,,e-transform,verified,
container,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
container,animation_duration,select,,,animated-slow,verified,
container,container_type,select,,,e-flex,verified,
container,content_width,select,,,e-con-boxed,verified,
container,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
container,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
container,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
nested-tabs,_element_width,select,,,elementor-widget__width-inherit,verified,
nested-tabs,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
nested-tabs,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
nested-tabs,_position,select,,,elementor-absolute,verified,
nested-tabs,_transform_flipX_effect,choose,,,e-transform,verified,
nested-tabs,_transform_flipX_effect_hover,choose,,,e-transform,verified,
nested-tabs,_transform_flipY_effect,choose,,,e-transform,verified,
nested-tabs,_transform_flipY_effect_hover,choose,,,e-transform,verified,
nested-tabs,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
nested-tabs,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
nested-tabs,_transform_scale_popover,popover_toggle,,,e-transform,verified,
nested-tabs,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
nested-tabs,_transform_skew_popover,popover_toggle,,,e-transform,verified,
nested-tabs,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
nested-tabs,_transform_translate_popover,popover_toggle,,,e-transform,verified,
nested-tabs,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
nested-tabs,animation_duration,select,,,animated-slow,verified,
nested-tabs,breakpoint_selector,select,,,e-n-tabs-none,verified,
nested-tabs,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
nested-tabs,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
nested-tabs,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
nested-accordion,_element_width,select,,,elementor-widget__width-inherit,verified,
nested-accordion,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
nested-accordion,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
nested-accordion,_position,select,,,elementor-absolute,verified,
nested-accordion,_transform_flipX_effect,choose,,,e-transform,verified,
nested-accordion,_transform_flipX_effect_hover,choose,,,e-transform,verified,
nested-accordion,_transform_flipY_effect,choose,,,e-transform,verified,
nested-accordion,_transform_flipY_effect_hover,choose,,,e-transform,verified,
nested-accordion,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
nested-accordion,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
nested-accordion,_transform_scale_popover,popover_toggle,,,e-transform,verified,
nested-accordion,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
nested-accordion,_transform_skew_popover,popover_toggle,,,e-transform,verified,
